state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
14190000	1	-0.193750194644408	-0.64265852009307	-0.193750194644408	1	0.117094706752061	-0.64265852009307	0.117094706752061	1
14200000	1	0.00102969122120762	-0.583398006072767	0.00102969122120761	1	0.0729840814534949	-0.583398006072767	0.0729840814534949	1
14210000	1	-0.00283072399314139	-0.563586943277227	-0.00283072399314137	1	0.100452245851096	-0.563586943277227	0.100452245851096	1
14220000	1	-0.209618913641385	-0.72170481006735	-0.209618913641385	1	0.125808988838756	-0.72170481006735	0.125808988838756	1
14230000	1	-0.0440642351403362	-0.60485226428373	-0.0440642351403362	1	-0.012597424214235	-0.60485226428373	-0.012597424214235	1
14240000	1	-0.385948729067107	-0.68340708018154	-0.385948729067107	1	0.309912277394995	-0.68340708018154	0.309912277394995	1
14250000	1	-0.278010280290696	-0.681568795666195	-0.278010280290696	1	-0.184380042702601	-0.681568795666195	-0.184380042702601	1
14260000	1	-0.401399717056319	-0.634151929450459	-0.401399717056319	1	0.223653957881775	-0.634151929450459	0.223653957881775	1
14270000	1	-0.301975282113429	-0.538863288451317	-0.301975282113429	1	0.123571986541406	-0.538863288451317	0.123571986541406	1
14280000	1	-0.171726829054472	-0.504570344045025	-0.171726829054472	1	0.130491477495217	-0.504570344045025	0.130491477495217	1
14290000	1	0.0308515825639499	-0.652349721709824	0.0308515825639499	1	0.236444109234066	-0.652349721709824	0.236444109234066	1
14300000	1	-0.248470152335207	-0.80758539128239	-0.248470152335207	1	0.207179208793218	-0.80758539128239	0.207179208793218	1
14310000	1	-0.0399311719647391	-0.737723446941703	-0.0399311719647391	1	0.215516321204661	-0.737723446941703	0.215516321204661	1
14320000	1	0.177311876757194	-0.613716635806935	0.177311876757194	1	-0.0089088809872656	-0.613716635806935	-0.00890888098726559	1
14330000	1	-0.450404116883652	-0.676213759866049	-0.450404116883652	1	0.306155876571911	-0.676213759866049	0.306155876571911	1
14340000	1	-0.196976411966691	-0.582987511989112	-0.196976411966691	1	0.24149517422635	-0.582987511989112	0.24149517422635	1
14350000	1	-0.183865700291341	-0.754513141514359	-0.183865700291341	1	0.0293740063192763	-0.754513141514359	0.0293740063192763	1
14360000	1	0.28231391547399	-0.651966899544746	0.28231391547399	1	-0.136639537252915	-0.651966899544746	-0.136639537252915	1
14370000	1	-0.0924620975386112	-0.661370879993856	-0.0924620975386112	1	0.286700482582635	-0.661370879993856	0.286700482582635	1
14380000	1	0.0694370324392641	-0.485119093227352	0.0694370324392641	1	0.0062839559557894	-0.485119093227352	0.0062839559557894	1
14390000	1	-0.23050373373597	-0.528877951847488	-0.23050373373597	1	0.255638252942874	-0.528877951847488	0.255638252942874	1
14400000	1	-0.24633466700109	-0.660970314565141	-0.24633466700109	1	0.26028819908568	-0.660970314565141	0.26028819908568	1
14410000	1	0.0082190195514668	-0.676388106078748	0.0082190195514668	1	0.149035626497334	-0.676388106078748	0.149035626497334	1
14420000	1	-0.447769931834979	-0.687373782854647	-0.447769931834979	1	0.21168152683075	-0.687373782854647	0.21168152683075	1
14430000	1	-0.135915865350754	-0.7739557045269	-0.135915865350754	1	0.0852552852401012	-0.7739557045269	0.0852552852401012	1
14440000	1	-0.126801557001748	-0.498585465739935	-0.126801557001748	1	0.197171861207514	-0.498585465739935	0.197171861207514	1
14450000	1	-0.414687944218139	-0.611191381375417	-0.414687944218139	1	0.0499125672413172	-0.611191381375416	0.0499125672413172	1
14460000	1	0.00834894008934587	-0.569378132484897	0.00834894008934587	1	0.15890061702833	-0.569378132484897	0.15890061702833	1
14470000	1	-0.171159827020503	-0.565168202540329	-0.171159827020503	1	0.0434392608332318	-0.565168202540328	0.0434392608332318	1
14480000	1	-0.416013745700354	-0.658083973704184	-0.416013745700354	1	0.121696455321307	-0.658083973704184	0.121696455321307	1
14490000	1	-0.187873564685041	-0.628230528860604	-0.187873564685041	1	0.0898499640739631	-0.628230528860604	0.089849964073963	1
14500000	1	-0.415350235586507	-0.726838831940064	-0.415350235586507	1	0.41252619568045	-0.726838831940064	0.41252619568045	1
14510000	1	-0.166471783339052	-0.280576423566655	-0.166471783339052	1	0.0905913415279122	-0.280576423566655	0.0905913415279122	1
14520000	1	0.0937185219908785	-0.526173468147425	0.0937185219908785	1	0.248585607670552	-0.526173468147425	0.248585607670552	1
14530000	1	-0.0466701684711693	-0.740123214234235	-0.0466701684711693	1	0.0704056325049612	-0.740123214234235	0.0704056325049612	1
14540000	1	0.111111593639725	-0.390123710569659	0.111111593639725	1	-0.0226832854417297	-0.390123710569659	-0.0226832854417297	1
14550000	1	-0.406696086299865	-0.707574337442015	-0.406696086299865	1	0.337997248621708	-0.707574337442015	0.337997248621708	1
14560000	1	-0.502430408021742	-0.791181513469133	-0.502430408021742	1	0.22232844704107	-0.791181513469133	0.22232844704107	1
14570000	1	0.0391892704386264	-0.54014423494636	0.0391892704386264	1	-0.0377309700426063	-0.54014423494636	-0.0377309700426063	1
14580000	1	-0.0699940929720645	-0.676494690481591	-0.0699940929720646	1	0.14920785137688	-0.676494690481591	0.14920785137688	1
14590000	1	-0.214841927951647	-0.21358636643901	-0.214841927951647	1	0.144126350328513	-0.21358636643901	0.144126350328513	1
14600000	1	-0.107815049499141	-0.681085478945661	-0.107815049499141	1	0.0885701779287409	-0.68108547894566	0.0885701779287409	1
14610000	1	0.0205488246564829	-0.578333321286024	0.0205488246564829	1	0.016252082607254	-0.578333321286024	0.016252082607254	1
14620000	1	-0.355932997335069	-0.48150484737144	-0.355932997335069	1	0.12467931752899	-0.48150484737144	0.12467931752899	1
14630000	1	-0.195328807496002	-0.806445832597482	-0.195328807496002	1	0.125136631727067	-0.806445832597482	0.125136631727067	1
14640000	1	-0.326320895842276	-0.560672548354392	-0.326320895842276	1	0.0215219862498411	-0.560672548354392	0.0215219862498411	1
14650000	1	0.147651481618581	-0.472295712551308	0.147651481618581	1	0.177942192149463	-0.472295712551308	0.177942192149463	1
14660000	1	-0.460677562198501	-0.405663430875161	-0.460677562198501	1	0.150882478532332	-0.405663430875161	0.150882478532332	1
14670000	1	0.0908041942244129	-0.688688614813754	0.0908041942244129	1	0.0984654843710865	-0.688688614813754	0.0984654843710864	1
14680000	1	-0.209509090000888	-0.674738480732365	-0.209509090000888	1	-0.068469148646954	-0.674738480732365	-0.068469148646954	1
14690000	1	-0.236772606016157	-0.652703487159274	-0.236772606016157	1	0.0983900811846656	-0.652703487159274	0.0983900811846656	1
14700000	1	-0.340864251209365	-0.526175647481941	-0.340864251209365	1	0.055376857993855	-0.526175647481941	0.055376857993855	1
14710000	1	0.0182374544930763	-0.537976900711075	0.0182374544930763	1	0.0297824878584972	-0.537976900711075	0.0297824878584972	1
14720000	1	-0.143819881747518	-0.489594044032014	-0.143819881747518	1	0.346092885031178	-0.489594044032014	0.346092885031178	1
14730000	1	-0.160099052375121	-0.548872822571887	-0.160099052375121	1	0.0119040184296181	-0.548872822571887	0.0119040184296182	1
14740000	1	-0.334385677157083	-0.544554950909811	-0.334385677157083	1	0.0785201506256539	-0.544554950909812	0.0785201506256539	1
14750000	1	-0.178289544569678	-0.324444072978814	-0.178289544569678	1	-0.120236103606968	-0.324444072978814	-0.120236103606968	1
14760000	1	-0.123712707621691	-0.610881546804202	-0.123712707621691	1	-0.0375835973579874	-0.610881546804203	-0.0375835973579874	1
14770000	1	-0.296276428454353	-0.633543952642685	-0.296276428454353	1	0.122277568968471	-0.633543952642685	0.122277568968471	1
14780000	1	0.316542079551654	-0.388717153210941	0.316542079551654	1	-0.0109100621924105	-0.388717153210941	-0.0109100621924104	1
14790000	1	0.088469694064287	-0.463687760272695	0.088469694064287	1	-0.0767159137862501	-0.463687760272695	-0.0767159137862501	1
14800000	1	0.00700353727926343	-0.460162014876095	0.00700353727926343	1	0.14051602140603	-0.460162014876095	0.14051602140603	1
14810000	1	-0.186446644010249	-0.675183891934117	-0.186446644010249	1	0.227980737040403	-0.675183891934117	0.227980737040403	1
14820000	1	-0.407648376490618	-0.77427114034288	-0.407648376490618	1	0.304761158102102	-0.77427114034288	0.304761158102102	1
