Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
1120	-80.26974	-85.19265	4.922919	1.880017	0.6142512	0.242482	0.00254683	0.0829186	0.0380875	0.16885	0.0384039	0.320227	0.106484
1130	-79.79868	-84.92127	5.122587	1.367486	1.026948	0.115333	0.00150348	0.386352	0.0476497	0.0598001	0.0233386	0.314747	0.0512758
1140	-79.39876	-86.08559	6.686829	0.9600581	0.6522553	0.0226159	0.0646572	0.0483437	0.0176931	0.391731	0.0254606	0.23429	0.195209
1150	-79.78522	-86.46057	6.675346	1.261791	0.3562634	0.218374	0.339462	0.045512	0.0242344	0.230749	0.0268592	0.0128696	0.10194
1160	-79.31208	-84.40649	5.094414	1.62386	0.7846615	0.0245914	0.375693	0.01969	0.0234366	0.457938	0.025975	0.0149077	0.057768
1170	-78.58298	-85.09291	6.509926	1.21448	0.4862847	0.0702262	0.312446	0.0831639	0.0391033	0.086507	0.0565209	0.168973	0.183059
1180	-79.03484	-84.70778	5.672945	1.594583	0.5246719	0.0765165	0.124971	0.0391379	0.0512619	0.15615	0.189633	0.131762	0.230568
1190	-79.40691	-84.65507	5.248161	1.688054	0.6435938	0.117163	0.132979	0.0555572	0.106094	0.204419	0.139323	0.174196	0.0702683
1200	-79.20694	-84.69514	5.488206	1.436043	0.7755821	0.317365	0.281847	0.139706	0.00473903	0.0445614	0.138808	0.0474037	0.0255694
1210	-80.05276	-87.09761	7.044849	0.911485	0.5218185	0.174331	0.47124	0.165974	0.00407898	0.11764	0.0176549	0.0408013	0.00827966
1220	-79.97741	-87.02559	7.048186	0.8595217	0.572113	0.4686	0.137618	0.158229	0.00810421	0.168276	0.00784801	0.00847502	0.0428498
1230	-79.92568	-85.605	5.679321	1.432589	0.6834783	0.305118	0.207993	0.371349	0.0268713	0.0698654	0.00581201	0.00627636	0.00671553
1240	-79.24057	-85.15943	5.918859	1.149039	0.8472591	0.705222	0.138167	0.0713939	0.0361348	0.0392613	0.0032661	0.00278073	0.00377383
1250	-78.56081	-84.09515	5.534342	1.532498	0.6560589	0.230594	0.186381	0.0501942	0.0370401	0.0537817	0.00965239	0.0028504	0.429507
1260	-78.51182	-84.63699	6.12517	1.424489	0.4686541	0.0555219	0.0663313	0.0938949	0.289755	0.0369147	0.0248618	0.0408615	0.391859
1270	-78.92513	-84.69558	5.770447	1.263384	0.8071205	0.10745	0.0847459	0.138911	0.153682	0.0290073	0.134762	0.269783	0.0816589
1280	-78.82751	-84.92033	6.092818	1.376662	0.5326573	0.125618	0.0105642	0.336751	0.154848	0.0326449	0.0629125	0.191949	0.0847133
1290	-78.89595	-85.73041	6.834461	1.021164	0.5173336	0.160824	0.036258	0.151198	0.0430279	0.0451359	0.0677825	0.286863	0.20891
1300	-78.7587	-84.54569	5.786991	1.311506	0.7507265	0.0377401	0.0541217	0.407291	0.0258608	0.0180378	0.313605	0.0125674	0.130776
1310	-78.74055	-84.87572	6.135174	1.334998	0.5531426	0.0871984	0.0501952	0.349577	0.0304529	0.0463574	0.268202	0.0999504	0.0680665
1320	-78.11604	-84.60359	6.48755	1.216157	0.4957959	0.0570322	0.093966	0.0715741	0.0149503	0.15076	0.0437135	0.156945	0.411059
1330	-81.31313	-88.98321	7.670081	0.6594559	0.4612316	0.0631913	0.0145734	0.429344	0.0220925	0.173259	0.0429163	0.180367	0.074256
1340	-78.78256	-84.5427	5.760146	1.520614	0.5550406	0.0751603	0.0435496	0.0592507	0.0476038	0.312553	0.163575	0.139958	0.158349
1350	-77.96412	-84.39638	6.432267	1.279349	0.4602456	0.0583483	0.153749	0.00666923	0.0443301	0.0258011	0.0290315	0.157475	0.524595
1360	-78.99472	-85.99186	6.997137	1.045839	0.4113207	0.0470131	0.305809	0.0204547	0.154265	0.0219721	0.172873	0.025294	0.252319
1370	-79.03213	-84.60689	5.574758	1.302665	0.865684	0.091664	0.0735068	0.05136	0.16633	0.0428401	0.281502	0.276193	0.0166039
1380	-78.31769	-84.39328	6.07559	1.331026	0.5869071	0.0726602	0.00434798	0.012651	0.131847	0.120428	0.384972	0.218933	0.0541613
1390	-78.87286	-85.05624	6.18338	1.142134	0.7219034	0.092374	0.00906743	0.0454409	0.192057	0.251145	0.16339	0.0854277	0.161099
1400	-79.00107	-84.15217	5.151103	1.476792	0.9033842	0.237388	0.0195948	0.0878847	0.144702	0.291474	0.0413454	0.124069	0.0535426
1410	-79.15323	-85.71648	6.563252	1.240736	0.4333661	0.0508458	0.169065	0.105241	0.255136	0.157369	0.0733174	0.164186	0.0248385
1420	-79.06277	-83.95193	4.889159	1.691795	0.8193529	0.0851823	0.0587783	0.132015	0.0886615	0.310701	0.0474347	0.129299	0.147929
1430	-79.34344	-83.9605	4.617059	1.605583	1.041615	0.0492123	0.180221	0.123766	0.159798	0.167755	0.251363	0.0542268	0.0136572
1440	-79.13733	-84.30084	5.163508	1.55109	0.822884	0.0119433	0.212491	0.330074	0.172923	0.0759993	0.0699111	0.0229119	0.103746
1450	-79.16207	-84.4278	5.265728	1.583472	0.7393922	0.159658	0.194565	0.102606	0.0209752	0.208711	0.246482	0.0150821	0.0519216
1460	-78.97537	-84.80085	5.82548	1.303596	0.7393922	0.187206	0.266812	0.147186	0.0173091	0.192307	0.0903724	0.0357432	0.0630644
1470	-80.62196	-85.45111	4.829153	1.404911	1.136241	0.0827849	0.196558	0.186437	0.0552215	0.174918	0.123602	0.00263908	0.17784
1480	-80.10195	-83.65427	3.552326	2.043324	1.136241	0.131269	0.308264	0.158535	0.0559581	0.199513	0.0571932	0.00693678	0.0823308
1490	-79.52197	-85.2424	5.72043	1.585237	0.5102762	0.10995	0.113867	0.129787	0.192592	0.125837	0.134731	0.0343104	0.158925
